storeid,name,address,website,phone,email,map_lat,map_lng,google_placeid,filters,country,timezone
386525761,100% Beauty by MD,"1430 N MacArthur Blvd Suite 107, Irving, Texas, 75061, United States",https://100beautymd.com/,817-513-5155​​​,,32.8286992,-96.9588972,,,US,America/Chicago
386150928,4 Ever Glow Salon & Medspa,"722 Katy Fort Bend Road #500, Katy, Texas, 77494, United States",https://4everglowmedspa.com/about,832-871-0000,,29.7814717,-95.8009881,,,US,America/Chicago
386150929,6 Degree Burn Fitness Studios,"1825 Brinston Dr, Troy, Michigan, 48083, United States",https://6degreeburnfitness.com/,+19899920433,,42.5557642,-83.1116586,ChIJdQNGc_LEJIgRUsJ-WHlNfUs,,US,America/Detroit
386150930,812 Esthetic Spa,"2819 Washington Ave, Bedford, Indiana, 47421, United States",https://www.yelp.com/biz/812-esthetic-spa-bedford,(812) 361-1682,,38.8468404,-86.4982,ChIJLbnlnlQRbIgRLsnj2Ne7IY4,,US,America/Indiana/Indianapolis
386150931,931 Skin + Co. Aesthetics and Wellness,"1324 Trotwood Avenue #1, Columbia, Tennessee, 38401, United States",https://931skinco.com,(931) 982-6028,,35.6008765,-87.0727783,ChIJk2oi-u1tY4gRwAE8Fr07Hao,,US,America/Chicago
386525762,A Heavenly Body Massage,"7576 County Road 301, Terrell, Texas, 75160, United States",http://ahbmassages.com,(469) 243-8444,,32.6713424,-96.279443,ChIJqyJYfSBPSYYRQTG16yZoocQ,,US,America/Chicago
386150933,A MIDAS TOUCH LLC,"36 Main Street, East Hartford, Connecticut, 06118, United States",https://www.amidastouchmedspa.com/,+18603011321,,41.7295574,-72.6181198,ChIJtYZwK9RT5okRlTYZctQy7_8,,US,America/New_York
386150934,A Rejuvenated Healthcare,"6730 22nd Ave N. Unit F, St Petersburg, Florida, 33710, United States",https://www.arejuvenatedhealthcare.com/,(727) 767-0168,,27.7911642,-82.7316548,EjA2NzMwIDIybmQgQXZlIE4gZiwgU3QuIFBldGVyc2J1cmcsIEZMIDMzNzEwLCBVU0EiHRobChYKFAoSCR0Z4J4t48KIEaS0FpwRtOZUEgFm,,US,America/New_York
386150935,A4E Institute,"4615 Ponce de Leon Boulevard, Coral Gables, Florida, 33146, United States",https://drdanielcampos.com/,(305)444-6756,,25.7268734,-80.2630175,ChIJlXsZge-32YgRs0fFloR9Pxk,,US,America/New_York
386150936,Aatma Med Spa & Life Center,"1051 N Citrus Avenue, Suite G, Covina, California, 91722, United States",https://aatmainc.com/,626-727-8736,,34.0985868,-117.8907768,ChIJq6rms2gow4ARXD4yltAy9xQ,,US,America/Los_Angeles
386150937,Abdullah Sallaj,"Embodyment Arts 561 W Diversey Pkwy Ste 206, Chicago, Illinois, 60614, United States",,(888) 888-8888,,41.9327019,-87.643388,ChIJr95slgPTD4gRTvKGCtLfEfg,,US,America/Chicago
386150938,Abioni Skin Studio,"9124 Haddon Ave, Sun Valley, California, 91352, United States",,(747) 248-8970,,34.2351727,-118.4009522,ChIJVd_zD1ORwoARdfRYJagCX4Q,,US,America/Los_Angeles
386525763,About Face Anti-Aging Institute,"201 E Central Texas Expressway, Suite 1220, Harker Heights, Texas, 76548, United States",http://aboutfaceantiaging.com,(254) 217-2104,,31.0749855,-97.6648182,ChIJG8_hsqhJRYYR_U-E0RmYwSI,,US,America/Chicago
386150940,Above & Beyond Clinics,"729 Sunrise Ave. #611, Roseville, California, 95661, United States",http://www.AboveandBeyondClinics.com,(916) 297- 6257,,38.7345339,-121.2704042,ChIJd50L9wQgm4ARcdX1rnkZQjg,,US,America/Los_Angeles
386150941,Absolute Therapy Solutions,"2370 Dairy Ashford Rd, Houston, Texas, 77077, United States",https://www.absoluteptf.com/,(281) 589-8877,,29.7387575,-95.6063647,ChIJi_NMy1_cQIYRt7Bg-wybM2c,,US,America/Chicago
386150942,Absolute Wellness Center,"215 W Kearney St, Springfield, Missouri, 65803, United States",https://www.absolutewellnesscenterllc.com/,802.863.2200,,37.2408374,-93.2923393,ChIJKVziX49iz4cRf0OKphe9RPs,,US,America/Chicago
